|   planet_name |    v_esc |         I | mass_constraint | fill_color |     line_color | obs_by_jwst |                 ra |                 dec |
|       <U13    |  float64 |   float64 |            bool |       <U10 |           <U15 |        bool |            float64 |             float64 |
|  TRAPPIST-1 b |  12.4118 |  372.9787 |            True |       grey | mediumseagreen |       False |  346.6220125039419 |   -5.04127500004238 |
|   LP 791-18 d |  10.4461 |  220.8045 |           False |       grey |        darkred |       False |        165.6904843 |         -16.4064445 |
|    LHS 1678 c |   9.8175 |  171.4633 |           False |       grey |        darkred |       False |         68.1789866 |         -39.7908744 |
|    TOI-6086 b |  13.0197 |  558.0824 |           False |       grey |        darkred |       False |        265.3704236 |          30.3037755 |
|  TOI-1450 A b |  11.8025 |  382.2054 |            True |       grey | mediumseagreen |       False |        286.8540627 |          59.0866254 |
|     GJ 3473 b |  13.8688 |  775.4294 |            True |       grey | mediumseagreen |       False |        120.5936065 |           3.3371629 |
|    LTT 3780 b |  15.2417 | 1351.0152 |            True |       grey | mediumseagreen |       False |         154.644917 |            -11.7178 |
|  TRAPPIST-1 d |   7.8492 |  100.1395 |            True |       grey | mediumseagreen |       False |  346.6220125039419 | -5.0412750000423845 |
|   LP 791-18 b |  13.4722 |  918.6609 |           False |       grey |        darkred |       False |           165.6915 |          -16.406192 |
|    TOI-5720 b |  11.7675 |  545.2369 |           False |       grey |        darkred |       False |        170.3135774 |          25.2732942 |
|     LHS 475 b |  10.4406 |  346.9658 |           False |       grey |        darkred |       False |        290.2379403 |         -82.5597883 |
|    TOI-1685 b |  16.0706 | 1909.4146 |            True |       grey | mediumseagreen |       False |         68.5939529 |          43.0370395 |
|      GJ 806 b |  13.3648 | 1168.5317 |            True |       grey | mediumseagreen |       False |        311.2697002 |          44.5002351 |
|       K2-91 b |  11.8533 |  727.8621 |           False |       grey |        darkred |       False |          63.218063 |           24.205112 |
|    Wolf 327 b |   15.978 | 2217.8321 |            True |       grey | mediumseagreen |       False |        148.3783199 |           35.570548 |
|    TOI-6008 b |  10.9746 | 1026.2464 |           False |       grey |        darkred |       False |        310.4487344 |          49.6468992 |
|    LHS 3844 b |  14.8393 | 2430.7437 |           False |       grey |        darkred |       False |         340.492104 |          -69.168986 |
|     TOI-540 b |   9.3414 |  687.7548 |           False |       grey |        darkred |       False |         76.3096949 |         -47.9375391 |
| SPECULOOS-3 b |  10.2773 | 1090.7784 |           False |       grey |        darkred |       False |        312.3632611 |          33.6123832 |
|     L 98-59 b |   7.6735 |  360.2068 |           False |       grey |        darkred |       False |          124.53175 |             -68.313 |
|   Kepler-42 b |   8.3194 |  739.0213 |           False |       grey |        darkred |       False | 292.21898333231604 |   44.61933333343929 |
|     GJ 1252 b |   11.831 | 2482.5638 |            True |       grey | mediumseagreen |       False |         306.925235 |           -56.45699 |
|   TOI-4527.01 |  16.9446 | 3954.8831 |           False |       grey |        darkred |       False |         19.4722574 |           5.4711996 |
|    LHS 1678 b |   6.6633 | 1196.5817 |           False |       grey |        darkred |       False |         68.1789866 |         -39.7908744 |
|      GJ 238 b |   5.3163 |  504.6021 |           False |       grey |        darkred |       False |          98.454881 |         -58.5250316 |
|   Kepler-42 c |     7.78 | 2829.0399 |           False |       grey |        darkred |       False | 292.21898333231604 |   44.61933333343929 |
|      GJ 367 b |  10.6448 | 4820.6141 |            True |       grey | mediumseagreen |       False |         146.121464 |         -45.7790165 |
|         Earth |     11.2 |       1.0 |            True |  lightblue | mediumseagreen |       False |            -999.99 |             -999.99 |
|          Mars |     5.03 |     0.421 |            True |  lightblue | mediumseagreen |       False |            -999.99 |             -999.99 |
|         Venus |    10.36 |      1.86 |            True |  lightblue | mediumseagreen |       False |            -999.99 |             -999.99 |
|       Mercury |     4.25 |      6.59 |            True |  lightblue | mediumseagreen |       False |            -999.99 |             -999.99 |
