col0 col1
0.5 0.1435507137243054
0.6 0.20656086563704873
0.7 0.22917783721055926
0.8 0.23894463575893482
0.9 0.23679773608960672
1.0 0.2634876559797551
1.1 0.2501907979056929
1.2 0.2358789878294673
1.3 0.22509169352163882
1.4 0.21772854874363334
1.5 0.2103246131516855
1.6 0.20308546919658008
1.7 0.19609532322342182
1.8 0.1843432339109663
1.9 0.17815400815436128
2.0 0.17229251440501067
2.1 0.16742093448391365
2.2 0.16287245707983666
2.3 0.15832487517227326
2.4 0.15422143199672617
2.5 0.15045642175228657
2.6 0.1470682690372186
2.7 0.14400449672389415
2.8 0.14125659237852978
2.9 0.11906476711384749
3.0 0.11682968848673358
3.1 0.11435731549417122
3.2 0.11837075629403375
3.3 0.1431662919431802
3.4 0.10888118345170547
3.5 0.11970087042975758
3.7 0.12918715987070634
4.0 0.15840246494647917
4.25 0.19037324728443739
4.5 0.2550244409307526
4.75 0.3449888763567961
5.0 0.46301848034078574
5.1 0.52873971178015
5.2 0.6008898137523251
5.3 0.7087300938626322
5.4 0.7759604113484042
5.5 0.8841525943018622
5.7 1.1816153864956769
5.9 1.4379820085912582
6.1 1.9346771702966843
6.3 2.7188782139638494
6.5 2.6768053279291006
6.7 3.0540536712284077
6.9 3.5710453515165126
7.1 4.11570594970566
7.3 4.839866378144005
7.5 5.830150574563453
7.7 6.702154268934638
7.9 7.111125974558512
8.1 7.471034062496963
8.3 8.10042585600907
8.5 8.905669234384039
8.7 9.6136433103114
8.9 10.130159728785323
9.1 10.860932771655069
9.3 11.650971046021528
9.5 12.481224951155923
9.7 13.361878104024107
9.9 14.254545839791449
10.1 15.126260467631152
10.3 16.015302743718895
10.5 16.985254501376737
10.7 17.959732205299492
10.9 18.988027372414074
11.1 20.270047303372337
11.3 21.71769026537755
11.5 22.53640434412634
11.7 23.169041541751355
11.9 24.181835646876138
12.1 25.334925627325404
12.3 26.592382844510713
12.5 27.868899725184345
12.7 29.17743594842252
12.9 30.42740829869011
13.1 31.668151789167265
13.3 33.01587307724805
13.5 34.48571301437858
13.7 35.98800926449695
13.9 37.51738952328389
14.1 39.17826665697139
14.3 40.874638794939145
14.5 42.64568946200828
14.7 44.486203623275586
14.9 46.43667437632402
15.1 48.482017187278686
15.3 50.615642417250854
15.5 52.93636480773313
16.5 66.24218072364755
17.5 83.93395649809392
18.5 108.01967266195763
19.5 141.28749899867879
20.5 187.33319917626525
21.5 250.8597466644101
22.5 337.3874960945159
23.5 453.53404552358677
24.5 606.7145978962018
25.5 804.7623931978517
26.5 1055.9995611536997
27.5 1370.4195099850174
28.5 1756.830850157968
29.5 2225.2401154905147
30.5 2782.6525658542246
31.0 3097.36131370236
