col0 col1
0.5 0.2132574497565128
0.6 0.28717818394013445
0.7 0.3215784357741189
0.8 0.33345262875522186
0.9 0.32926295702177943
1.0 0.32472938744282276
1.1 0.3048728208853173
1.2 0.28305227770794894
1.3 0.2662600373934847
1.4 0.25450900365325424
1.5 0.24271332169422516
1.6 0.2312078040477074
1.7 0.22015015725271736
1.8 0.20669972941706904
1.9 0.19686639518467414
2.0 0.18761523662021307
2.1 0.1793341247405379
2.2 0.1716099382750212
2.3 0.1626447693946251
2.4 0.15441334846378924
2.5 0.1467894349048527
2.6 0.13979476630048207
2.7 0.13336509156813728
2.8 0.12748603238701162
2.9 0.11659063773455082
3.0 0.11172154776100804
3.1 0.10719960466494952
3.2 0.10444235055618648
3.3 0.10638271604599292
3.4 0.09689824553888285
3.5 0.11377137961373665
3.7 0.12916279073122322
4.0 0.1783911822396206
4.25 0.24859530035037447
4.5 0.35846015034700723
4.75 0.5107994513814544
5.0 0.7077256350373806
5.1 0.8138890935548289
5.2 0.9315575702743357
5.3 1.0669426077325992
5.4 1.2049089392098344
5.5 1.362304398963928
5.7 1.7274938787207557
5.9 2.1307695068311467
6.1 2.628924270512811
6.3 3.232175866935818
6.5 3.7132490479295406
6.7 4.322614525383173
6.9 5.001102188343193
7.1 5.723480167690504
7.3 6.5172793088078125
7.5 7.396620145544296
7.7 8.279363801122422
7.9 9.094129404068973
8.1 9.918165470136593
8.3 10.815631774676351
8.5 11.76215341314713
8.7 12.699798156705274
8.9 13.60621824184777
9.1 14.562646027311846
9.3 15.53449504901667
9.5 16.516142229289738
9.7 17.507230801518133
9.9 18.501708912204368
10.1 19.48791742540984
10.3 20.472949734789125
10.5 21.47378534066107
10.7 22.475136124878738
10.9 23.48743035922154
11.1 24.552667790555642
11.3 25.655517806384744
11.5 26.63750514438159
11.7 27.590261315772132
11.9 28.633037830992777
12.1 29.791017636997477
12.3 31.0685920523605
12.5 32.38255716479149
12.7 33.739025831340605
12.9 35.12419358970662
13.1 36.54973047500408
13.3 38.055023983596314
13.5 39.644904589989736
13.7 41.29103736736657
13.9 43.02429519278557
14.1 44.849776177697336
14.3 46.77207064230641
14.5 48.80514440982277
14.7 50.93803499270379
14.9 53.217059983653186
15.1 55.629346888827726
15.3 58.18171956527543
15.5 60.910403628842346
16.5 77.40678971972073
17.5 100.25661861736
18.5 132.10413592095435
19.5 176.44476436994796
20.5 237.46119720274672
21.5 320.46226979056786
22.5 431.4827595410312
23.5 577.2531122399412
24.5 765.099809313121
25.5 1002.3180289146288
26.5 1297.2445378964615
27.5 1657.231111140481
28.5 2090.1935629581476
29.5 2603.1443152964302
30.5 3204.093408760415
31.0 3538.5698976933845
