col0 col1
0.5 0.129520632038304
0.6 0.1833700856957763
0.7 0.20381656184643293
0.8 0.2121669828679864
0.9 0.2103198679675198
1.0 0.22660525098957557
1.1 0.2147060554709936
1.2 0.20178414812002016
1.3 0.19211251345312508
1.4 0.18560887841052087
1.5 0.17902325770449495
1.6 0.17255147486031108
1.7 0.1662742902138309
1.8 0.15476167013922426
1.9 0.1491347670305427
2.0 0.14378697504331284
2.1 0.1394060646210747
2.2 0.1353081268645689
2.3 0.1307677621363899
2.4 0.1266382922534381
2.5 0.12281690187809136
2.6 0.11934458547546092
2.7 0.11617126526339139
2.8 0.11329057866220536
2.9 0.0968793038436176
3.0 0.09446293813568758
3.1 0.09182562561171045
3.2 0.09295779040582422
3.3 0.10599824391019785
3.4 0.08547472918053162
3.5 0.09815883343959052
3.7 0.10834888129107058
4.0 0.13970916099518801
4.25 0.17835197596005578
4.5 0.2469289584387819
4.75 0.3417116559833845
5.0 0.46483128549356756
5.1 0.533079218635832
5.2 0.6084368389305528
5.3 0.7075192941019
5.4 0.7875330441833086
5.5 0.8945035703258604
5.7 1.16624264201117
5.9 1.431677574968418
6.1 1.849204397738497
6.3 2.446494510230297
6.5 2.5962758463886404
6.7 2.9993334165376857
6.9 3.4979394657251985
7.1 4.028465017543412
7.3 4.675700980672368
7.5 5.487792001755837
7.7 6.247057205533071
7.9 6.75853738737735
8.1 7.254620019296535
8.3 7.9136158292283705
8.5 8.681779156754377
8.7 9.404746687130539
8.9 10.028531236392773
9.1 10.78079593643154
9.3 11.573886578426347
9.5 12.39635083027483
9.7 13.25392913875395
9.9 14.124424894950899
10.1 14.988147886930259
10.3 15.866983606027523
10.5 16.797586774625024
10.7 17.737032006647798
10.9 18.713263391477298
11.1 19.83958037840396
11.3 21.067048247592346
11.5 21.94827500443485
11.7 22.734020977143082
11.9 23.74373687616719
12.1 24.8641273170186
12.3 26.08069397073875
12.5 27.320625137013735
12.7 28.595535645990026
12.9 29.854353097049223
13.1 31.129231979828333
13.3 32.48129265597526
13.5 33.92781978485221
13.7 35.41832795955525
13.9 36.94547265256324
14.1 38.58124118749877
14.3 40.2628768049736
14.5 42.02126415274168
14.7 43.85354202254059
14.9 45.78697193362781
15.1 47.813160117010284
15.3 49.93285573629297
15.5 52.21056805899086
16.5 65.40767379082185
17.5 83.00052882755824
18.5 106.9977683788416
19.5 140.18757328695662
20.5 186.1653034126407
21.5 249.6332807844201
22.5 336.11107853804714
23.5 452.2154630807703
24.5 605.3608074465498
25.5 803.386763945753
26.5 1054.6146937414442
27.5 1369.0299064102355
28.5 1755.4401985850482
29.5 2223.851397455837
30.5 2781.268152998815
31.0 3095.979775994981
