col0 col1
0.5 0.2403651898868414
0.6 0.3256073637617417
0.7 0.36423491323454404
0.8 0.37779008872166214
0.9 0.37310776124110534
1.0 0.3721934030157078
1.1 0.34972363196538286
1.2 0.3250778675392486
1.3 0.30621094823579864
1.4 0.2931116295534835
1.5 0.2799470079321351
1.6 0.2670917426295258
1.7 0.25472718642358405
1.8 0.23879593249467856
1.9 0.2277945506439853
2.0 0.21743973747929857
2.1 0.2082185082247431
2.2 0.1996133810432624
2.3 0.18964055618291542
2.4 0.18048473918890895
2.5 0.1720083835716973
2.6 0.16421985691585866
2.7 0.15703883749172876
2.8 0.15043120642313215
2.9 0.13579947763748249
3.0 0.13016590173195347
3.1 0.12474783794404279
3.2 0.12177012055138356
3.3 0.12589563944295354
3.4 0.11100497864037791
3.5 0.1286958720364356
3.7 0.14200971938264956
4.0 0.18693866884524837
4.25 0.25060024049859414
4.5 0.35454242437372824
4.75 0.4998908981991303
5.0 0.6897840460075653
5.1 0.7952010065450089
5.2 0.9126204816188482
5.3 1.052100063663837
5.4 1.1891263120414504
5.5 1.3508012769676743
5.7 1.7358839212488881
5.9 2.1564546722144193
6.1 2.705563050783409
6.3 3.400912221549966
6.5 3.87779131977108
6.7 4.543036909235644
6.9 5.304083194812499
7.1 6.1225919563997095
7.3 7.04603627500692
7.5 8.100390680774074
7.7 9.156443030959597
7.9 10.09849242045298
8.1 11.05903750949392
8.3 12.138670047189802
8.5 13.3032119373666
8.7 14.460540269322966
8.9 15.576480665727626
9.1 16.780440203737957
9.3 18.019309220543192
9.5 19.283937660175305
9.7 20.575766144047805
9.9 21.880062216344008
10.1 23.181394098701148
10.3 24.491131554530007
10.5 25.831201042564228
10.7 27.175603554667745
10.9 28.539621913777477
11.1 29.98863976498672
11.3 31.494065754458695
11.5 32.79584551619268
11.7 34.03997010231386
11.9 35.41157840671248
12.1 36.91024934888425
12.3 38.53732725365283
12.5 40.18278227291632
12.7 41.85702861968805
12.9 43.52998866801728
13.1 45.22414603623338
13.3 46.97046071701423
13.5 48.78711566192001
13.7 50.64463511478324
13.9 52.53442778743013
14.1 54.510770593431246
14.3 56.528816587521305
14.5 58.614881194404624
14.7 60.76733614308296
14.9 63.006257852507
15.1 65.3268876284192
15.3 67.73398341881808
15.5 70.27351787941618
16.5 84.6930788163047
17.5 103.284634962088
18.5 128.07681157183288
19.5 161.8799394594534
20.5 208.31170279877668
21.5 272.0957393020867
22.5 358.77128809278065
23.5 474.9728430606063
24.5 628.1304972762181
25.5 825.8954777598262
26.5 1076.6092236532913
27.5 1390.4741424308845
28.5 1776.3085347835047
29.5 2244.126882924186
30.5 2800.9409245676434
31.0 3115.3493396424246
