col0 col1
0.5 0.1629220586865404
0.6 0.2361505794564573
0.7 0.2618842733214748
0.8 0.27322790581824
0.9 0.27057694099864915
1.0 0.30655019240396036
1.1 0.29111076165017274
1.2 0.27459567551274716
1.3 0.26186117990705726
1.4 0.2528201280745956
1.5 0.2438131239040523
1.6 0.23506336061434896
1.7 0.22666130195272632
1.8 0.21259822400208894
1.9 0.20519182251298806
2.0 0.19820133671464085
2.1 0.19240780775426436
2.2 0.18701020585142394
2.3 0.1820676714107894
2.4 0.17762548444926288
2.5 0.17357285572535716
2.6 0.16994349575633047
2.7 0.1666806621267522
2.8 0.1637719702838203
2.9 0.1369307277100553
3.0 0.1346601365886897
3.1 0.1325006721213626
3.2 0.1392342950000836
3.3 0.17461237029171547
3.4 0.12838055178992747
3.5 0.13764926448050704
3.7 0.14690435014297448
4.0 0.17455678319411413
4.25 0.20027615075571406
4.5 0.26069254671825043
4.75 0.3451292735293411
5.0 0.45688051063767593
5.1 0.5190268812170787
5.2 0.5868434966396517
5.3 0.701218586978372
5.4 0.7550334049493465
5.5 0.8625438118471034
5.7 1.1795576356301112
5.9 1.422968003649487
6.1 1.9866567575084362
6.3 2.9359163799804824
6.5 2.7123547199208655
6.7 3.059511994455707
6.9 3.58638891001874
7.1 4.136796927958539
7.3 4.923533848685171
7.5 6.067982329585765
7.7 7.0344876497074065
7.9 7.343132415800871
8.1 7.572729404631861
8.3 8.168525610569745
8.5 9.000649628288233
8.7 9.688949911394307
8.9 10.1033431686538
9.1 10.809710139280591
9.3 11.59244223737506
9.5 12.425655238975516
9.7 13.32419679204969
9.9 14.233826080402158
10.1 15.110216361765445
10.3 16.006255539048723
10.5 17.00972627198304
10.7 18.014382093220746
10.9 19.088554616879982
11.1 20.50942428640686
11.3 22.153922691835216
11.5 22.91768674143286
11.7 23.41496498058926
11.9 24.432190994767126
12.1 25.616482392707248
12.3 26.91188350998443
12.5 28.222881406137198
12.7 29.563619746932527
12.9 30.808240473423822
13.1 32.0213926887553
13.3 33.36842264322922
13.5 34.86254044565757
13.7 36.37910590001678
13.9 37.914489005592436
14.1 39.602020599144375
14.3 41.31601480555301
14.5 43.103043897731055
14.7 44.95577587293404
14.9 46.9264951790891
15.1 48.99413108542135
15.3 51.145529987975024
15.5 53.51010511839149
16.5 66.94175115934394
17.5 84.7519849175772
18.5 108.94702033900948
19.5 142.31414925361642
20.5 188.44889105402595
21.5 252.05440605828937
22.5 338.65151333145104
23.5 454.85844057581625
24.5 608.0911059518838
25.5 806.1754193879178
26.5 1057.4338790622621
27.5 1371.8688261994337
28.5 1758.2898142031509
29.5 2226.7042195466242
30.5 2784.1180485185637
31.0 3098.826283681609
