col0 col1
0.5 0.3109056213580318
0.6 0.4167196531457787
0.7 0.4668262503003917
0.8 0.4835037389998214
0.9 0.4770461615232673
1.0 0.4673245110460442
1.1 0.4381593510010494
1.2 0.40605788329758635
1.3 0.3817864629634933
1.4 0.3653053381067421
1.5 0.34865722086465095
1.6 0.3323391724064064
1.7 0.31660704162401687
1.8 0.2983394277622719
1.9 0.28425053291769714
2.0 0.2709793780659486
2.1 0.2589906363078226
2.2 0.2477839221386628
2.3 0.2341358478163375
2.4 0.22156867388166535
2.5 0.20992287845696667
2.6 0.19918610139535314
2.7 0.1892586808812258
2.8 0.18008869158860644
2.9 0.1652126217809339
3.0 0.15733778975394358
3.1 0.14987777484764703
3.2 0.1433606648600128
3.3 0.13873381377418664
3.4 0.13056026556381306
3.5 0.16471553081873597
3.7 0.1892002461916255
4.0 0.2652191441847931
4.25 0.3723103442921961
4.5 0.5357630798685483
4.75 0.7585617848152867
5.0 1.04271536646594
5.1 1.1995525138431775
5.2 1.3735397170634718
5.3 1.5672656306035777
5.4 1.7763155923032188
5.5 2.006578385871082
5.7 2.529765498814075
5.9 3.1287742246279073
6.1 3.8216165466877507
6.3 4.615508703238893
6.5 5.433504294827216
6.7 6.356140639580645
6.9 7.361886120111085
7.1 8.43948067356295
7.3 9.594675840911759
7.5 10.828750819943023
7.7 12.10971066485665
7.9 13.40883782434872
8.1 14.748920900149319
8.3 16.145680945199796
8.5 17.587081105641325
8.7 19.04990536297875
8.9 20.522357933219727
9.1 22.02720063741473
9.3 23.550108125340905
9.5 25.085454625348802
9.7 26.630103815048464
9.9 28.18034421195895
10.1 29.726903036589867
10.3 31.271023263491482
10.5 32.818303270397095
10.7 34.36215711199883
10.9 35.9050277566036
11.1 37.461030193012704
11.3 39.02458244152244
11.5 40.54042228577485
11.7 42.041220608330356
11.9 43.56657616508656
12.1 45.22150875428344
12.3 47.02350660276841
12.5 48.83857885116704
12.7 50.676367566688626
12.9 52.53015480729745
13.1 54.41235821907391
13.3 56.32152707073776
13.5 58.27721793800231
13.7 60.2731940349577
13.9 62.299837303276405
14.1 64.39244083293724
14.3 66.52592971297693
14.5 68.72188715419773
14.7 70.98024383817102
14.9 73.31344403084825
15.1 75.72085476816278
15.3 78.21174433097654
15.5 80.81202619572579
16.5 95.51609091362013
17.5 114.27749361046935
18.5 139.1458902143955
19.5 172.9499415216922
20.5 219.32289604362256
21.5 283.00137507869306
22.5 369.53531333645424
23.5 485.5679341799402
24.5 638.5364045993882
25.5 836.0051085080361
26.5 1086.3277845856903
27.5 1399.805654578833
28.5 1785.2597965774137
29.5 2252.706713239866
30.5 2809.1595691522925
31.0 3123.3915496660547
